Temperature;1;2;3;4;5;6;7;8
82,39;77,090884;77,06319171;76,61361677;76,89953041;76,89885592;76,46931297;77,00495445;76,89886984
82,4;77,01806957;76,98977508;76,52154469;76,82193005;76,82407401;76,37396938;76,93154905;76,82431261
82,41;76,94524892;76,91629011;76,4291853;76,74411346;76,74925059;76,27835664;76,85806285;76,75000531
82,42;76,87224152;76,8426933;76,33599592;76,66587792;76,6740673;76,18220561;76,78429751;76,67543247
82,43;76,79904737;76,76898466;76,24197655;76,58722344;76,59852416;76,08551629;76,71025305;76,6005941
82,44;76,72524317;76,69448699;76,1467058;76,50787972;76,52241354;75,98742302;76,63545933;76,52488878
82,45;76,6511962;76,61956063;76,05053481;76,42813056;76,44592921;75,88815133;76,56046727;76,44850395
82,46;76,57744181;76,54485793;75,95380837;76,34832734;76,36919575;75,78842138;76,48580575;76,37194728
82,47;76,50348821;76,47008068;75,85632854;76,26829437;76,29217163;75,68793491;76,4110267;76,29514068
82,48;76,42933541;76,39522887;75,75809532;76,18803166;76,21485686;75,58669192;76,33613012;76,21808415
82,49;76,35429865;76,31981792;75,65880227;76,10706621;76,13708533;75,48384133;76,26063119;76,14064492
82,5;76,27892573;76,24416467;75,55851323;76,02557369;76,05902316;75,37965954;76,1845593;76,06271363
82,51;76,20370221;76,16857977;75,45749634;75,94391899;75,98078106;75,27499765;76,10817891;75,9843606
82,52;76,12808028;76,09255998;75,35582822;75,86179128;75,90215142;75,16975381;76,03135777;75,90583575
82,53;76,05205994;76,01610529;75,25350887;75,77919055;75,82313423;75,06392804;75,9540959;75,82713908
82,54;75,97519301;75,93894234;75,14992537;75,69573165;75,74366029;74,95645101;75,87626107;75,74796597
82,55;75,8980086;75,861593;75,04500111;75,61198894;75,66433166;74,8475337;75,79844827;75,66818365
82,56;75,82112923;75,78440519;74,93922134;75,52822595;75,58521757;74,73805628;75,72089256;75,58826855
82,57;75,74422496;75,70696886;74,83254772;75,44390887;75,50559137;74,62782233;75,64318993;75,50832221
82,58;75,66729578;75,62928403;74,72498027;75,35903768;75,42545305;74,51683186;75,56534038;75,42834464
82,59;75,5897939;75,55081638;74,61597627;75,27316643;75,34444276;74,40420467;75,48680035;75,34760166
82,6;75,5117131;75,47188277;74,50565067;75,18680865;75,2632664;74,29007171;75,40773143;75,26610889
82,61;75,43346422;75,39298023;74,39458446;75,10039681;75,18233919;74,17522588;75,32864782;75,18464736
82,62;75,35510328;75,31387889;74,28280317;75,01339034;75,10103826;74,05946349;75,24913816;75,10315459
82,63;75,27663028;75,23457875;74,1703068;74,92578923;75,01936364;73,94278456;75,16920243;75,02163059
82,64;75,19727955;75,15437774;74,05601635;74,83707994;74,93683779;73,82424342;75,0881722;74,93938804
